// ***** BenchmarkRunner: Start   *****
// Found benchmarks:
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]

// Validating benchmarks:
No exporters defined, results will not be persisted.
// ***** Building 4 benchmark(s) in Parallel: Start   *****
// ***** Done, took 00:00:06 (6.28 sec)   *****
// **************************
// Benchmark: ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-JPVHNJ(InvocationCount=500, UnrollFactor=1)

IdleTarget  5: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget  6: 500 op, 1500.00 ns, 3.0000 ns/op
IdleTarget  7: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget  8: 500 op, 1500.00 ns, 3.0000 ns/op
IdleTarget  9: 500 op, 1500.00 ns, 3.0000 ns/op
IdleTarget 10: 500 op, 1500.00 ns, 3.0000 ns/op
IdleTarget 11: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget 12: 500 op, 1500.00 ns, 3.0000 ns/op
IdleTarget 13: 500 op, 1500.00 ns, 3.0000 ns/op
IdleTarget 14: 500 op, 1600.00 ns, 3.2000 ns/op
IdleTarget 15: 500 op, 3200.00 ns, 6.4000 ns/op

MainWarmup  1: 500 op, 329007500.00 ns, 658.0150 us/op
MainWarmup  2: 500 op, 197568500.00 ns, 395.1370 us/op
MainWarmup  3: 500 op, 214065800.00 ns, 428.1316 us/op
MainWarmup  4: 500 op, 153423200.00 ns, 306.8464 us/op
MainWarmup  5: 500 op, 126973500.00 ns, 253.9470 us/op
MainWarmup  6: 500 op, 120612000.00 ns, 241.2240 us/op
MainWarmup  7: 500 op, 128266800.00 ns, 256.5336 us/op
MainWarmup  8: 500 op, 118430200.00 ns, 236.8604 us/op

// BeforeMainRun
MainTarget  1: 500 op, 127305000.00 ns, 254.6100 us/op
MainTarget  2: 500 op, 124848700.00 ns, 249.6974 us/op
MainTarget  3: 500 op, 158084900.00 ns, 316.1698 us/op
MainTarget  4: 500 op, 130131400.00 ns, 260.2628 us/op
MainTarget  5: 500 op, 127703700.00 ns, 255.4074 us/op
MainTarget  6: 500 op, 116397900.00 ns, 232.7958 us/op
MainTarget  7: 500 op, 111065600.00 ns, 222.1312 us/op
MainTarget  8: 500 op, 112749600.00 ns, 225.4992 us/op
MainTarget  9: 500 op, 114736100.00 ns, 229.4722 us/op
MainTarget 10: 500 op, 117320500.00 ns, 234.6410 us/op
MainTarget 11: 500 op, 120402700.00 ns, 240.8054 us/op
MainTarget 12: 500 op, 120604100.00 ns, 241.2082 us/op
MainTarget 13: 500 op, 119812200.00 ns, 239.6244 us/op
MainTarget 14: 500 op, 116583900.00 ns, 233.1678 us/op
MainTarget 15: 500 op, 120092900.00 ns, 240.1858 us/op
MainTarget 16: 500 op, 116755600.00 ns, 233.5112 us/op
MainTarget 17: 500 op, 119097900.00 ns, 238.1958 us/op
MainTarget 18: 500 op, 121251700.00 ns, 242.5034 us/op
MainTarget 19: 500 op, 119211100.00 ns, 238.4222 us/op
MainTarget 20: 500 op, 117352700.00 ns, 234.7054 us/op
MainTarget 21: 500 op, 126269800.00 ns, 252.5396 us/op
MainTarget 22: 500 op, 118529400.00 ns, 237.0588 us/op
MainTarget 23: 500 op, 156513800.00 ns, 313.0276 us/op
MainTarget 24: 500 op, 215346900.00 ns, 430.6938 us/op
MainTarget 25: 500 op, 219896800.00 ns, 439.7936 us/op
MainTarget 26: 500 op, 199398900.00 ns, 398.7978 us/op
MainTarget 27: 500 op, 219819300.00 ns, 439.6386 us/op
MainTarget 28: 500 op, 170631900.00 ns, 341.2638 us/op
MainTarget 29: 500 op, 184940700.00 ns, 369.8814 us/op
MainTarget 30: 500 op, 199534800.00 ns, 399.0696 us/op
MainTarget 31: 500 op, 188935600.00 ns, 377.8712 us/op
MainTarget 32: 500 op, 151078100.00 ns, 302.1562 us/op
MainTarget 33: 500 op, 125834100.00 ns, 251.6682 us/op
MainTarget 34: 500 op, 133353500.00 ns, 266.7070 us/op
MainTarget 35: 500 op, 149172700.00 ns, 298.3454 us/op
MainTarget 36: 500 op, 153627300.00 ns, 307.2546 us/op
MainTarget 37: 500 op, 180197100.00 ns, 360.3942 us/op
MainTarget 38: 500 op, 151539400.00 ns, 303.0788 us/op
MainTarget 39: 500 op, 135294300.00 ns, 270.5886 us/op
MainTarget 40: 500 op, 130561000.00 ns, 261.1220 us/op
MainTarget 41: 500 op, 119647200.00 ns, 239.2944 us/op
MainTarget 42: 500 op, 110004600.00 ns, 220.0092 us/op
MainTarget 43: 500 op, 210331000.00 ns, 420.6620 us/op
MainTarget 44: 500 op, 178398500.00 ns, 356.7970 us/op
MainTarget 45: 500 op, 231367900.00 ns, 462.7358 us/op
MainTarget 46: 500 op, 206092700.00 ns, 412.1854 us/op
MainTarget 47: 500 op, 194795200.00 ns, 389.5904 us/op
MainTarget 48: 500 op, 239954500.00 ns, 479.9090 us/op
MainTarget 49: 500 op, 201978100.00 ns, 403.9562 us/op
MainTarget 50: 500 op, 170712500.00 ns, 341.4250 us/op
MainTarget 51: 500 op, 207697400.00 ns, 415.3948 us/op
MainTarget 52: 500 op, 143858000.00 ns, 287.7160 us/op
MainTarget 53: 500 op, 139886200.00 ns, 279.7724 us/op
MainTarget 54: 500 op, 121906100.00 ns, 243.8122 us/op
MainTarget 55: 500 op, 172884300.00 ns, 345.7686 us/op
MainTarget 56: 500 op, 220550500.00 ns, 441.1010 us/op
MainTarget 57: 500 op, 203351100.00 ns, 406.7022 us/op
MainTarget 58: 500 op, 162273500.00 ns, 324.5470 us/op
MainTarget 59: 500 op, 156566300.00 ns, 313.1326 us/op
MainTarget 60: 500 op, 133230400.00 ns, 266.4608 us/op
MainTarget 61: 500 op, 158684900.00 ns, 317.3698 us/op
MainTarget 62: 500 op, 132869200.00 ns, 265.7384 us/op
MainTarget 63: 500 op, 117010000.00 ns, 234.0200 us/op
MainTarget 64: 500 op, 111283700.00 ns, 222.5674 us/op
MainTarget 65: 500 op, 110387700.00 ns, 220.7754 us/op
MainTarget 66: 500 op, 149059700.00 ns, 298.1194 us/op
MainTarget 67: 500 op, 110539000.00 ns, 221.0780 us/op
MainTarget 68: 500 op, 117172900.00 ns, 234.3458 us/op
MainTarget 69: 500 op, 119524100.00 ns, 239.0482 us/op
MainTarget 70: 500 op, 112182900.00 ns, 224.3658 us/op
MainTarget 71: 500 op, 110278500.00 ns, 220.5570 us/op
MainTarget 72: 500 op, 115767900.00 ns, 231.5358 us/op
MainTarget 73: 500 op, 115955000.00 ns, 231.9100 us/op
MainTarget 74: 500 op, 108997700.00 ns, 217.9954 us/op
MainTarget 75: 500 op, 86858200.00 ns, 173.7164 us/op
MainTarget 76: 500 op, 108911000.00 ns, 217.8220 us/op
MainTarget 77: 500 op, 107848000.00 ns, 215.6960 us/op
MainTarget 78: 500 op, 144802100.00 ns, 289.6042 us/op
MainTarget 79: 500 op, 137535000.00 ns, 275.0700 us/op
MainTarget 80: 500 op, 143394800.00 ns, 286.7896 us/op
MainTarget 81: 500 op, 111955400.00 ns, 223.9108 us/op
MainTarget 82: 500 op, 109614800.00 ns, 219.2296 us/op
MainTarget 83: 500 op, 109262500.00 ns, 218.5250 us/op
MainTarget 84: 500 op, 105200100.00 ns, 210.4002 us/op
MainTarget 85: 500 op, 105464400.00 ns, 210.9288 us/op
MainTarget 86: 500 op, 112242400.00 ns, 224.4848 us/op
MainTarget 87: 500 op, 109171500.00 ns, 218.3430 us/op
MainTarget 88: 500 op, 111574600.00 ns, 223.1492 us/op
MainTarget 89: 500 op, 106708000.00 ns, 213.4160 us/op
MainTarget 90: 500 op, 110293100.00 ns, 220.5862 us/op
MainTarget 91: 500 op, 109208800.00 ns, 218.4176 us/op
MainTarget 92: 500 op, 107869200.00 ns, 215.7384 us/op
MainTarget 93: 500 op, 109975100.00 ns, 219.9502 us/op
MainTarget 94: 500 op, 110079500.00 ns, 220.1590 us/op
MainTarget 95: 500 op, 122168400.00 ns, 244.3368 us/op
MainTarget 96: 500 op, 109780200.00 ns, 219.5604 us/op
MainTarget 97: 500 op, 108786500.00 ns, 217.5730 us/op
MainTarget 98: 500 op, 109092100.00 ns, 218.1842 us/op
MainTarget 99: 500 op, 107772700.00 ns, 215.5454 us/op
MainTarget 100: 500 op, 107662300.00 ns, 215.3246 us/op

// AfterMainRun
Result  1: 500 op, 127303293.33 ns, 254.6066 us/op
Result  2: 500 op, 124846993.33 ns, 249.6940 us/op
Result  3: 500 op, 158083193.33 ns, 316.1664 us/op
Result  4: 500 op, 130129693.33 ns, 260.2594 us/op
Result  5: 500 op, 127701993.33 ns, 255.4040 us/op
Result  6: 500 op, 116396193.33 ns, 232.7924 us/op
Result  7: 500 op, 111063893.33 ns, 222.1278 us/op
Result  8: 500 op, 112747893.33 ns, 225.4958 us/op
Result  9: 500 op, 114734393.33 ns, 229.4688 us/op
Result 10: 500 op, 117318793.33 ns, 234.6376 us/op
Result 11: 500 op, 120400993.33 ns, 240.8020 us/op
Result 12: 500 op, 120602393.33 ns, 241.2048 us/op
Result 13: 500 op, 119810493.33 ns, 239.6210 us/op
Result 14: 500 op, 116582193.33 ns, 233.1644 us/op
Result 15: 500 op, 120091193.33 ns, 240.1824 us/op
Result 16: 500 op, 116753893.33 ns, 233.5078 us/op
Result 17: 500 op, 119096193.33 ns, 238.1924 us/op
Result 18: 500 op, 121249993.33 ns, 242.5000 us/op
Result 19: 500 op, 119209393.33 ns, 238.4188 us/op
Result 20: 500 op, 117350993.33 ns, 234.7020 us/op
Result 21: 500 op, 126268093.33 ns, 252.5362 us/op
Result 22: 500 op, 118527693.33 ns, 237.0554 us/op
Result 23: 500 op, 156512093.33 ns, 313.0242 us/op
Result 24: 500 op, 215345193.33 ns, 430.6904 us/op
Result 25: 500 op, 219895093.33 ns, 439.7902 us/op
Result 26: 500 op, 199397193.33 ns, 398.7944 us/op
Result 27: 500 op, 219817593.33 ns, 439.6352 us/op
Result 28: 500 op, 170630193.33 ns, 341.2604 us/op
Result 29: 500 op, 184938993.33 ns, 369.8780 us/op
Result 30: 500 op, 199533093.33 ns, 399.0662 us/op
Result 31: 500 op, 188933893.33 ns, 377.8678 us/op
Result 32: 500 op, 151076393.33 ns, 302.1528 us/op
Result 33: 500 op, 125832393.33 ns, 251.6648 us/op
Result 34: 500 op, 133351793.33 ns, 266.7036 us/op
Result 35: 500 op, 149170993.33 ns, 298.3420 us/op
Result 36: 500 op, 153625593.33 ns, 307.2512 us/op
Result 37: 500 op, 180195393.33 ns, 360.3908 us/op
Result 38: 500 op, 151537693.33 ns, 303.0754 us/op
Result 39: 500 op, 135292593.33 ns, 270.5852 us/op
Result 40: 500 op, 130559293.33 ns, 261.1186 us/op
Result 41: 500 op, 119645493.33 ns, 239.2910 us/op
Result 42: 500 op, 110002893.33 ns, 220.0058 us/op
Result 43: 500 op, 210329293.33 ns, 420.6586 us/op
Result 44: 500 op, 178396793.33 ns, 356.7936 us/op
Result 45: 500 op, 206090993.33 ns, 412.1820 us/op
Result 46: 500 op, 194793493.33 ns, 389.5870 us/op
Result 47: 500 op, 201976393.33 ns, 403.9528 us/op
Result 48: 500 op, 170710793.33 ns, 341.4216 us/op
Result 49: 500 op, 207695693.33 ns, 415.3914 us/op
Result 50: 500 op, 143856293.33 ns, 287.7126 us/op
Result 51: 500 op, 139884493.33 ns, 279.7690 us/op
Result 52: 500 op, 121904393.33 ns, 243.8088 us/op
Result 53: 500 op, 172882593.33 ns, 345.7652 us/op
Result 54: 500 op, 220548793.33 ns, 441.0976 us/op
Result 55: 500 op, 203349393.33 ns, 406.6988 us/op
Result 56: 500 op, 162271793.33 ns, 324.5436 us/op
Result 57: 500 op, 156564593.33 ns, 313.1292 us/op
Result 58: 500 op, 133228693.33 ns, 266.4574 us/op
Result 59: 500 op, 158683193.33 ns, 317.3664 us/op
Result 60: 500 op, 132867493.33 ns, 265.7350 us/op
Result 61: 500 op, 117008293.33 ns, 234.0166 us/op
Result 62: 500 op, 111281993.33 ns, 222.5640 us/op
Result 63: 500 op, 110385993.33 ns, 220.7720 us/op
Result 64: 500 op, 149057993.33 ns, 298.1160 us/op
Result 65: 500 op, 110537293.33 ns, 221.0746 us/op
Result 66: 500 op, 117171193.33 ns, 234.3424 us/op
Result 67: 500 op, 119522393.33 ns, 239.0448 us/op
Result 68: 500 op, 112181193.33 ns, 224.3624 us/op
Result 69: 500 op, 110276793.33 ns, 220.5536 us/op
Result 70: 500 op, 115766193.33 ns, 231.5324 us/op
Result 71: 500 op, 115953293.33 ns, 231.9066 us/op
Result 72: 500 op, 108995993.33 ns, 217.9920 us/op
Result 73: 500 op, 86856493.33 ns, 173.7130 us/op
Result 74: 500 op, 108909293.33 ns, 217.8186 us/op
Result 75: 500 op, 107846293.33 ns, 215.6926 us/op
Result 76: 500 op, 144800393.33 ns, 289.6008 us/op
Result 77: 500 op, 137533293.33 ns, 275.0666 us/op
Result 78: 500 op, 143393093.33 ns, 286.7862 us/op
Result 79: 500 op, 111953693.33 ns, 223.9074 us/op
Result 80: 500 op, 109613093.33 ns, 219.2262 us/op
Result 81: 500 op, 109260793.33 ns, 218.5216 us/op
Result 82: 500 op, 105198393.33 ns, 210.3968 us/op
Result 83: 500 op, 105462693.33 ns, 210.9254 us/op
Result 84: 500 op, 112240693.33 ns, 224.4814 us/op
Result 85: 500 op, 109169793.33 ns, 218.3396 us/op
Result 86: 500 op, 111572893.33 ns, 223.1458 us/op
Result 87: 500 op, 106706293.33 ns, 213.4126 us/op
Result 88: 500 op, 110291393.33 ns, 220.5828 us/op
Result 89: 500 op, 109207093.33 ns, 218.4142 us/op
Result 90: 500 op, 107867493.33 ns, 215.7350 us/op
Result 91: 500 op, 109973393.33 ns, 219.9468 us/op
Result 92: 500 op, 110077793.33 ns, 220.1556 us/op
Result 93: 500 op, 122166693.33 ns, 244.3334 us/op
Result 94: 500 op, 109778493.33 ns, 219.5570 us/op
Result 95: 500 op, 108784793.33 ns, 217.5696 us/op
Result 96: 500 op, 109090393.33 ns, 218.1808 us/op
Result 97: 500 op, 107770993.33 ns, 215.5420 us/op
Result 98: 500 op, 107660593.33 ns, 215.3212 us/op
GC:  8 2 0 72952504 500

// AfterAll

Mean = 273.6515 us, StdErr = 6.8317 us (2.50%); N = 98, StdDev = 67.6305 us
Min = 173.7130 us, Q1 = 222.1278 us, Median = 241.0034 us, Q3 = 307.2512 us, Max = 441.0976 us
IQR = 85.1234 us, LowerFence = 94.4427 us, UpperFence = 434.9363 us
ConfidenceInterval = [250.4669 us; 296.8361 us] (CI 99.9%), Margin = 23.1846 us (8.47% of Mean)
Skewness = 1.13, Kurtosis = 3.05, MValue = 2.57

// ***** BenchmarkRunner: Finish  *****

// * Export *

// * Detailed results *
ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
Runtime = .NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 446.3928 us, StdErr = 2.8780 us (0.64%); N = 32, StdDev = 16.2805 us
Min = 431.1362 us, Q1 = 434.6831 us, Median = 443.2756 us, Q3 = 450.3989 us, Max = 503.3618 us
IQR = 15.7158 us, LowerFence = 411.1094 us, UpperFence = 473.9726 us
ConfidenceInterval = [435.9357 us; 456.8500 us] (CI 99.9%), Margin = 10.4571 us (2.34% of Mean)
Skewness = 1.76, Kurtosis = 6.03, MValue = 2.13
-------------------- Histogram --------------------
[430.121 us ; 439.095 us) | @@@@@@@@@@@@@
[439.095 us ; 450.256 us) | @@@@@@@@@@@
[450.256 us ; 466.695 us) | @@@@
[466.695 us ; 478.518 us) | @@
[478.518 us ; 507.849 us) | @@
---------------------------------------------------

ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
Runtime = .NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 229.4711 us, StdErr = 1.2777 us (0.56%); N = 40, StdDev = 8.0807 us
Min = 215.8465 us, Q1 = 223.0667 us, Median = 229.3536 us, Q3 = 235.3795 us, Max = 252.7521 us
IQR = 12.3128 us, LowerFence = 204.5975 us, UpperFence = 253.8487 us
ConfidenceInterval = [224.9250 us; 234.0172 us] (CI 99.9%), Margin = 4.5461 us (1.98% of Mean)
Skewness = 0.56, Kurtosis = 3.14, MValue = 2.73
-------------------- Histogram --------------------
[213.779 us ; 221.461 us) | @@@@@@@
[221.461 us ; 226.965 us) | @@@@@@@@@@@
[226.965 us ; 231.755 us) | @@@@@@@@
[231.755 us ; 238.428 us) | @@@@@@@@@@@
[238.428 us ; 244.285 us) | @
[244.285 us ; 254.819 us) | @@
---------------------------------------------------

ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]
Runtime = .NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 425.1416 us, StdErr = 1.4943 us (0.35%); N = 15, StdDev = 5.7873 us
Min = 418.7953 us, Q1 = 419.1153 us, Median = 423.9629 us, Q3 = 430.6879 us, Max = 436.1993 us
IQR = 11.5726 us, LowerFence = 401.7564 us, UpperFence = 448.0468 us
ConfidenceInterval = [418.9546 us; 431.3286 us] (CI 99.9%), Margin = 6.1870 us (1.46% of Mean)
Skewness = 0.58, Kurtosis = 1.92, MValue = 2
-------------------- Histogram --------------------
[416.742 us ; 426.776 us) | @@@@@@@@@@
[426.776 us ; 438.253 us) | @@@@@
---------------------------------------------------

ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]
Runtime = .NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 273.6515 us, StdErr = 6.8317 us (2.50%); N = 98, StdDev = 67.6305 us
Min = 173.7130 us, Q1 = 222.1278 us, Median = 241.0034 us, Q3 = 307.2512 us, Max = 441.0976 us
IQR = 85.1234 us, LowerFence = 94.4427 us, UpperFence = 434.9363 us
ConfidenceInterval = [250.4669 us; 296.8361 us] (CI 99.9%), Margin = 23.1846 us (8.47% of Mean)
Skewness = 1.13, Kurtosis = 3.05, MValue = 2.57
-------------------- Histogram --------------------
[160.878 us ; 186.548 us) | @
[186.548 us ; 215.226 us) | @@@
[215.226 us ; 240.897 us) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[240.897 us ; 266.790 us) | @@@@@@@@@@@@@@
[266.790 us ; 294.906 us) | @@@@@@
[294.906 us ; 320.577 us) | @@@@@@@@@
[320.577 us ; 337.990 us) | @
[337.990 us ; 366.897 us) | @@@@@
[366.897 us ; 396.891 us) | @@@
[396.891 us ; 422.562 us) | @@@@@@@
[422.562 us ; 448.729 us) | @@@@
---------------------------------------------------

Total time: 00:01:49 (109.02 sec)

// * Summary *

BenchmarkDotNet=v0.10.14, OS=Windows 10.0.17134
Intel Core i5-8350U CPU 1.70GHz (Kaby Lake R), 1 CPU, 8 logical and 4 physical cores
.NET Core SDK=2.1.403
  [Host]     : .NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT
  Job-BXBMPF : .NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT

InvocationCount=500  UnrollFactor=1  

 Method | Capacity |     Mean |     Error |    StdDev |   Median |   Gen 0 |  Gen 1 | Allocated |
------- |--------- |---------:|----------:|----------:|---------:|--------:|-------:|----------:|
  Close |      100 | 446.4 us | 10.457 us | 16.281 us | 443.3 us | 28.0000 |      - |   87.5 KB |
 Forget |      100 | 229.5 us |  4.546 us |  8.081 us | 229.4 us | 16.0000 | 4.0000 | 654.58 KB |
  Close |     4096 | 425.1 us |  6.187 us |  5.787 us | 424.0 us | 28.0000 |      - |   87.5 KB |
 Forget |     4096 | 273.7 us | 23.185 us | 67.631 us | 241.0 us | 16.0000 | 4.0000 | 142.49 KB |

// * Warnings *
MinIterationTime
  ForgetToCloseStream.Forget: InvocationCount=500, UnrollFactor=1 -> MinIterationTime = 86.8582 ms which is very small. It's recommended to increase it.

// * Hints *
Outliers
  ForgetToCloseStream.Close: InvocationCount=500, UnrollFactor=1  -> 5 outliers were removed
  ForgetToCloseStream.Forget: InvocationCount=500, UnrollFactor=1 -> 4 outliers were removed
  ForgetToCloseStream.Forget: InvocationCount=500, UnrollFactor=1 -> 2 outliers were removed

// * Legends *
  Capacity  : Value of the 'Capacity' parameter
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Median    : Value separating the higher half of all measurements (50th percentile)
  Gen 0     : GC Generation 0 collects per 1k Operations
  Gen 1     : GC Generation 1 collects per 1k Operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 us      : 1 Microsecond (0.000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// * Artifacts cleanup *
