// ***** BenchmarkRunner: Start   *****
// Found benchmarks:
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
//   ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]
//   ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=4096]

// Validating benchmarks:
No exporters defined, results will not be persisted.
// ***** Building 4 benchmark(s) in Parallel: Start   *****
// ***** Done, took 00:00:06 (6.28 sec)   *****
// **************************
// Benchmark: ForgetToCloseStream.Close: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-JPVHNJ(InvocationCount=500, UnrollFactor=1)

Result  3: 500 op, 224857800.00 ns, 449.7156 us/op
Result  4: 500 op, 221374500.00 ns, 442.7490 us/op
Result  5: 500 op, 227054800.00 ns, 454.1096 us/op
Result  6: 500 op, 251680900.00 ns, 503.3618 us/op
Result  7: 500 op, 236497100.00 ns, 472.9942 us/op
Result  8: 500 op, 223271500.00 ns, 446.5430 us/op
Result  9: 500 op, 224765500.00 ns, 449.5310 us/op
Result 10: 500 op, 223290100.00 ns, 446.5802 us/op
Result 11: 500 op, 215723200.00 ns, 431.4464 us/op
Result 12: 500 op, 216890500.00 ns, 433.7810 us/op
Result 13: 500 op, 218678300.00 ns, 437.3566 us/op
Result 14: 500 op, 217878700.00 ns, 435.7574 us/op
Result 15: 500 op, 215568100.00 ns, 431.1362 us/op
Result 16: 500 op, 216468800.00 ns, 432.9376 us/op
Result 17: 500 op, 219039600.00 ns, 438.0792 us/op
Result 18: 500 op, 223523800.00 ns, 447.0476 us/op
Result 19: 500 op, 217628600.00 ns, 435.2572 us/op
Result 20: 500 op, 217054500.00 ns, 434.1090 us/op
Result 21: 500 op, 216145800.00 ns, 432.2916 us/op
Result 22: 500 op, 220147500.00 ns, 440.2950 us/op
Result 23: 500 op, 241675900.00 ns, 483.3518 us/op
Result 24: 500 op, 222289500.00 ns, 444.5790 us/op
Result 25: 500 op, 226221800.00 ns, 452.4436 us/op
Result 26: 500 op, 221924300.00 ns, 443.8486 us/op
Result 27: 500 op, 228469000.00 ns, 456.9380 us/op
Result 28: 500 op, 220910700.00 ns, 441.8214 us/op
Result 29: 500 op, 216931900.00 ns, 433.8638 us/op
Result 30: 500 op, 221901100.00 ns, 443.8022 us/op
Result 31: 500 op, 218129700.00 ns, 436.2594 us/op
Result 32: 500 op, 215839000.00 ns, 431.6780 us/op
GC:  14 0 0 44800000 500

// AfterAll

Mean = 446.3928 us, StdErr = 2.8780 us (0.64%); N = 32, StdDev = 16.2805 us
Min = 431.1362 us, Q1 = 434.6831 us, Median = 443.2756 us, Q3 = 450.3989 us, Max = 503.3618 us
IQR = 15.7158 us, LowerFence = 411.1094 us, UpperFence = 473.9726 us
ConfidenceInterval = [435.9357 us; 456.8500 us] (CI 99.9%), Margin = 10.4571 us (2.34% of Mean)
Skewness = 1.76, Kurtosis = 6.03, MValue = 2.13

// **************************
// Benchmark: ForgetToCloseStream.Forget: Job-BXBMPF(InvocationCount=500, UnrollFactor=1) [Capacity=100]
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.5 (CoreCLR 4.6.26919.02, CoreFX 4.6.26919.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-UZPOHO(InvocationCount=500, UnrollFactor=1)

IdleWarmup  1: 500 op, 195000.00 ns, 390.0000 ns/op
IdleWarmup  2: 500 op, 2900.00 ns, 5.8000 ns/op
IdleWarmup  3: 500 op, 1700.00 ns, 3.4000 ns/op
IdleWarmup  4: 500 op, 7500.00 ns, 15.0000 ns/op
IdleWarmup  5: 500 op, 2100.00 ns, 4.2000 ns/op
IdleWarmup  6: 500 op, 1900.00 ns, 3.8000 ns/op
IdleWarmup  7: 500 op, 1700.00 ns, 3.4000 ns/op
IdleWarmup  8: 500 op, 1700.00 ns, 3.4000 ns/op
IdleWarmup  9: 500 op, 1700.00 ns, 3.4000 ns/op

IdleTarget  1: 500 op, 1800.00 ns, 3.6000 ns/op
IdleTarget  2: 500 op, 1800.00 ns, 3.6000 ns/op
IdleTarget  3: 500 op, 1900.00 ns, 3.8000 ns/op
IdleTarget  4: 500 op, 1900.00 ns, 3.8000 ns/op
IdleTarget  5: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget  6: 500 op, 1700.00 ns, 3.4000 ns/op
IdleTarget  7: 500 op, 1700.00 ns, 3.4000 ns/op
